City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,100,NZ,1579889587,95,-46.19,168.86,59.0,4.0
vaini,20,TO,1579889587,88,-21.2,-175.2,77.0,6.93
atuona,43,PF,1579889587,81,-9.8,-139.03,80.01,14.41
ushuaia,75,AR,1579889587,54,-54.8,-68.3,55.4,3.06
busselton,80,AU,1579889588,52,-33.65,115.33,64.99,11.5
troitskoye,100,RU,1579889588,86,52.98,84.68,22.84,5.68
sankt veit,20,DE,1579889588,92,49.1,10.95,33.01,2.24
brovst,82,DK,1579889588,91,57.1,9.53,43.0,5.01
souillac,75,MU,1579889588,88,-20.52,57.52,81.0,11.41
barrow,1,US,1579889589,75,71.29,-156.79,-20.2,9.17
rikitea,0,PF,1579889589,71,-23.12,-134.97,78.08,18.45
serebriya,47,UA,1579889589,65,48.46,27.72,33.01,2.1
yining,100,CN,1579889589,95,29.04,114.56,43.18,0.13
orodara,21,BF,1579889589,21,10.95,-4.93,91.4,11.41
neiafu,40,TO,1579889590,94,-18.65,-173.98,75.2,5.82
yulara,60,AU,1579889590,22,-25.24,130.99,80.6,10.29
tshikapa,100,CD,1579889490,76,-6.42,20.8,75.18,1.14
luderitz,0,NA,1579889590,60,-26.65,15.16,75.2,11.41
punta arenas,90,CL,1579889590,87,-53.15,-70.92,44.6,11.41
aktash,67,RU,1579889525,76,50.3,87.73,1.42,6.24
hofn,20,IS,1579889590,58,64.25,-15.21,30.2,5.82
port-gentil,75,GA,1579889591,83,-0.72,8.78,82.4,8.05
hobart,99,AU,1579889583,62,-42.88,147.33,60.01,9.17
grindavik,90,IS,1579889591,82,63.84,-22.43,32.0,17.22
vaxjo,75,SE,1579889591,93,56.88,14.81,42.8,13.87
kieta,37,PG,1579889591,77,-6.22,155.63,81.01,5.61
vila franca do campo,40,PT,1579889591,67,37.72,-25.43,57.2,12.75
butaritari,100,KI,1579889592,74,3.07,172.79,84.2,8.32
saint-jean-port-joli,99,CA,1579889592,80,47.22,-70.27,27.0,13.0
ancud,40,CL,1579889592,52,-41.87,-73.82,68.0,16.11
jamestown,90,US,1579889592,41,42.1,-79.24,45.0,6.93
ribeira grande,75,PT,1579889592,59,38.52,-28.7,60.8,6.93
ostrovnoy,100,RU,1579889592,88,68.05,39.51,11.3,6.76
faya,20,SA,1579889593,81,18.39,42.45,53.6,6.93
victor harbor,40,AU,1579889593,82,-35.57,138.62,64.4,5.82
torbay,75,CA,1579889593,81,47.67,-52.73,34.0,14.0
albany,1,US,1579889482,44,42.6,-73.97,48.0,3.36
hilo,90,US,1579889298,73,19.73,-155.09,70.0,4.7
pitsunda,90,GE,1579889593,57,43.16,40.34,32.0,11.18
bethel,1,US,1579889593,39,41.37,-73.41,51.8,4.7
los llanos de aridane,75,ES,1579889594,59,28.66,-17.92,66.2,1.12
new norfolk,100,AU,1579889332,62,-42.78,147.06,60.01,9.17
shieli,100,KZ,1579889594,81,44.17,66.75,31.78,9.28
airai,73,TL,1579889594,92,-8.93,125.41,67.32,3.18
tudela,100,ES,1579889594,81,42.06,-1.6,48.99,5.82
kingston,20,JM,1579889594,61,18.0,-76.79,82.4,8.05
east london,20,ZA,1579889595,78,-33.02,27.91,75.2,5.82
ponta do sol,40,PT,1579889595,51,32.67,-17.1,62.6,6.93
emirdag,0,TR,1579889595,75,39.02,31.15,21.74,2.55
puerto ayora,40,EC,1579889595,58,-0.74,-90.35,86.0,16.11
yellowknife,75,CA,1579889595,84,62.46,-114.35,5.0,10.29
skelleftea,50,SE,1579889595,79,64.75,20.95,34.0,13.87
bam,52,IR,1579889596,45,29.11,58.36,54.16,1.57
takoradi,2,GH,1579889596,73,4.88,-1.76,82.83,8.32
matara,38,LK,1579889596,86,5.95,80.54,73.72,7.54
khakhea,91,BW,1579889596,65,-24.69,23.49,71.42,12.62
longyearbyen,40,SJ,1579889424,60,78.22,15.64,8.6,18.34
boa vista,75,BR,1579889521,24,2.82,-60.67,93.2,8.05
mitsamiouli,90,KM,1579889597,100,-11.38,43.28,75.2,2.24
kaitangata,100,NZ,1579889597,69,-46.28,169.85,68.0,7.25
nanortalik,100,GL,1579889597,93,60.14,-45.24,25.95,22.26
katsuura,100,JP,1579889597,52,35.13,140.3,46.4,21.92
talara,40,PE,1579889419,100,-4.58,-81.27,62.6,8.05
castro,26,BR,1579889598,61,-24.79,-50.01,74.53,6.71
saint-louis,0,SN,1579889598,23,16.33,-15.0,93.2,4.7
san patricio,20,MX,1579889598,74,19.22,-104.7,82.4,4.23
chokurdakh,0,RU,1579889598,88,70.63,147.92,-35.1,4.68
altamira,75,BR,1579889598,66,-3.2,-52.21,87.8,8.05
lavrentiya,0,RU,1579889527,79,65.58,-171.0,-16.42,3.8
great falls,1,US,1579889599,49,47.5,-111.3,50.0,16.11
esperance,90,AU,1579889599,100,-33.87,121.9,60.8,5.82
hermanus,0,ZA,1579889599,86,-34.42,19.23,71.01,4.0
nikolskoye,75,RU,1579889599,96,59.7,30.79,36.0,13.42
provideniya,91,RU,1579889599,96,64.38,-173.3,-7.8,5.12
pathein,47,MM,1579889311,53,16.78,94.73,76.78,15.3
victoria,40,HK,1579889342,88,22.29,114.16,71.01,13.87
beloha,0,MG,1579889600,75,-25.17,45.05,70.18,13.94
bluff,100,NZ,1579889600,95,-46.6,168.33,59.0,4.0
tessalit,99,ML,1579889600,9,20.2,1.01,82.15,7.29
cidreira,10,BR,1579889324,74,-30.18,-50.21,74.08,12.53
arraial do cabo,90,BR,1579889600,88,-22.97,-42.03,77.0,9.17
tuktoyaktuk,90,CA,1579889601,83,69.45,-133.04,-4.0,5.82
mocuba,94,MZ,1579889601,92,-16.84,36.99,71.87,3.89
kavieng,0,PG,1579889601,65,-2.57,150.8,83.28,5.97
cape town,0,ZA,1579889343,77,-33.93,18.42,71.01,14.99
mpanda,100,TZ,1579889601,91,-6.37,31.04,68.11,1.28
melfort,1,CA,1579889601,85,52.87,-104.62,17.6,9.17
lebu,0,CL,1579889602,32,-37.62,-73.65,72.01,12.28
avarua,83,CK,1579889602,94,-21.21,-159.78,78.8,6.93
kibre mengist,100,ET,1579889602,55,5.88,38.98,64.47,0.4
bubaque,24,GW,1579889602,65,11.28,-15.83,79.79,13.09
kodinsk,100,RU,1579889602,92,58.69,99.18,25.41,9.71
